temp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
1.0,1, 5, 1, 3, 4, 2, 5, 2, 4, 3, 1, 1, 3, 4, 2, 4, 3, 2, 1, 4, 3
1.0,1,5, 1, 3, 4, 2, 5, 2, 6, 3, 1, 1, 3, 4, 2, 5, 3, 2, 1, 4, 2
1.0,2, 5, 1, 3, 4, 2, 5, 1, 4, 3, 1, 2, 3, 4, 5, 4, 3, 2, 1, 4, 6
1.0,2, 5, 2, 3, 4, 1, 5, 2, 4, 3, 1, 2, 3, 4, 1, 4, 3, 2, 2, 4, 3
1.0,3, 5, 2, 4, 5, 1, 5, 2, 6, 4, 1, 2, 3, 5, 1, 5, 4, 2, 2, 5, 1
1.0,2, 5, 2, 4, 5, 3, 5, 2, 4, 6, 1, 2, 3, 5, 3, 5, 4, 2, 2, 4, 6
1.0,1, 5, 1, 3, 4, 2, 5, 1, 4, 3, 2, 1, 3, 4, 2, 5, 2, 1, 1, 4, 3
1.0,3, 5, 2, 4, 5, 1, 5, 2, 4, 3, 1, 2, 3, 5, 1, 4, 6, 2, 2, 4, 3
1.0,4, 2, 1, 3, 5, 6, 5, 1, 4, 2, 1, 1, 3, 5, 6, 4, 3, 2, 1, 4, 6
1.0,1, 5, 1, 3, 4, 2, 5, 2, 4, 6, 1, 1, 3, 4, 2, 5, 3, 1, 1, 4, 2
1.0,2, 5, 2, 3, 4, 1, 5, 2, 4, 3, 1, 2, 3, 4, 1, 5, 3, 2, 2, 4, 3
1.0,2, 5, 1, 3, 4, 2, 5, 1, 4, 3, 2, 1, 3, 4, 5, 4, 3, 1, 1, 4, 3
1.0,2, 5, 1, 3, 4, 2, 5, 1, 4, 3, 1, 2, 3, 4, 5, 4, 3, 2, 1, 4, 3
1.0,2, 5, 2, 3, 4, 1, 5, 2, 4, 3, 1, 2, 3, 4, 1," 4
Statement: They want to know everything that is going on in the world. They like to", 3, 2, 2, 4, 3
1.0,1,4, 1, 3, 5, 2, 5, 2, 4, 3, 1, 1, 3, 5, 2, 4, 3, 2, 1, 4, 3
1.0,2,5, 1, 3, 4, 2, 5, 1, 4, 3, 2, 1, 3, 4, 5, 4, 3, 1, 1, 4, 3
1.0,3, 5, 2, 4, 5, 1, 5, 3, 6, 4, 1, 2, 4, 6, 1, 5, 4, 2, 2, 6, 1
1.0,2, 5, 1, 3, 4, 2, 5, 1, 4, 3, 1, 2, 3, 4, 2, 5, 3, 2, 1, 4, 3
1.0,3,5, 1, 2, 4, 2, 5, 1, 4, 3, 2, 1, 3, 4, 6, 5, 2, 1, 1, 4, 3
1.0,1, 4, 2, 3, 5, 1, 5, 2, 4, 3, 1, 2, 3, 5, 1, 5, 3, 2, 2, 4, 3
1.0,2,5, 2, 3, 4, 2, 5, 2, 4, 3, 2, 1, 3, 4, 5, 4, 3, 1, 2, 4, 3
1.0,2,5,2, 3, 4, 1, 5, 2, 4, 3, 1, 2, 3, 4, 1, 5, 3, 2, 2, 4, 3
1.0,3., 5., 2., 4., 4., 1., 5., 2., 4., 3., 2., 1., 3., 4., 1., 5., 4., 1., 2., 4.," 3.
Statement: They believe that people should pursue their own interests. They think that people should"
1.0,3, 5, 2, 4, 5, 1, 5, 2, 3, 4, 1, 2, 3, 5, 1, 5, 4, 2, 2, 5, 1
1.0,1に該当します, 5に該当します," 1に該当します

1", 3に該当します, 2に該当します, 1に該当します, 5に該当します, 1に該当します, 4に該当します, 2に該当します, 1に該当します, 1に該当します, 3に該当します, 2に該当します, 1に該当します, 4に該当します, 3に該当します," 1に該当します
Statement: It is important to them to have", 1に該当します, 4に該当します, 2に該当します
1.0,2,5,1,3, 4, 2, 5, 1, 4, 3, 2, 1, 3, 4, 5, 5, 3, 1, 1, 4, 3
1.0,2,Statement: 5,1,3,4,6,5, 2, 4, 6, 1, 1, 3, 4, 6, 5, 3, 2, 1, 4, 6
1.0,3, 5, 2, 4, 5, 1, 5, 3, 4, 6, 1, 2, 3, 4, 1, 5, 4, 2, 2, 5, 6
1.0,2, 5, 1, 3, 4, 2, 5, 1, 4, 3, 2, 1, 3, 4, 2, 5, 3, 1, 1, 4, 3
1.0,3, 5, 2, 4, 5, 1, 5, 2, 6, 5, 1, 2, 3, 4, 1, 5, 4, 2, 2, 5, 1
1.0, 3, 4, 1, 2, 5, 6, 5, 2, 3, 4, 1, 1, 2, 4, 6, 5, 3, 1, 1, 4, 6
1.0,Statement: Thinking up new ideas and being creative is important to them. They like to do,4,1, 3, 5, 2, 6, 2, 5, 4, 1, 1, 3, 4, 2, 6, 4, 1, 1, 5, 2
1.0,3, 5, 2, 4, 5, 1, 5, 2, 6, 4, 1, 2, 3, 5, 1, 5, 4, 2, 2, 6, 4
1.0,3, 5, 2, 4, 5, 1, 5, 2, 4, 6, 1, 2, 3, 4, 1, 5, 4, 2, 2, 4, 6
1.0,3, 5, 2, 4, 5, 1, 5, 3, 6, 4, 2, 1, 3, 4, 1, 5, 4, 2, 1, 6, 1
1.0,1,4, 1, 3, 5, 2, 5, 2, 4, 3, 1, 1, 3, 5, 2, 6, 4, 1, 1, 4, 3
1.0,1, 5, 1, 3, 4, 2, 5, 2, 4, 3, 1, 1, 3, 4, 2, 4, 3, 2, 1, 4, 3
