,Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
Conformity,1.0,-0.07,0.14,0.1,0.04,0.07,0.06,0.02,0.08,-0.09
Tradition,-0.07,1.0,-0.08,-0.15,-0.28,0.22,-0.14,0.03,-0.06,-0.12
Benevolence,0.14,-0.08,1.0,-0.02,-0.05,0.07,-0.13,0.06,0.05,-0.05
Universalism,0.1,-0.15,-0.02,1.0,0.08,0.06,0.06,0.01,-0.05,0.08
Self_Direction,0.04,-0.28,-0.05,0.08,1.0,0.02,0.05,0.08,0.08,-0.19
Stimulation,0.07,0.22,0.07,0.06,0.02,1.0,0.01,0.13,-0.03,-0.05
Hedonism,0.06,-0.14,-0.13,0.06,0.05,0.01,1.0,-0.05,0.12,-0.12
Achievement,0.02,0.03,0.06,0.01,0.08,0.13,-0.05,1.0,-0.23,0.09
Power,0.08,-0.06,0.05,-0.05,0.08,-0.03,0.12,-0.23,1.0,-0.11
Security,-0.09,-0.12,-0.05,0.08,-0.19,-0.05,-0.12,0.09,-0.11,1.0
