,Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
Conformity,1.0,-0.04,-0.04,-0.02,-0.02,-0.12,-0.08,0.06,-0.24,-0.15
Tradition,-0.04,1.0,-0.17,0.15,0.01,-0.0,-0.12,-0.3,-0.14,0.08
Benevolence,-0.04,-0.17,1.0,-0.07,-0.25,-0.08,0.05,-0.03,-0.08,0.12
Universalism,-0.02,0.15,-0.07,1.0,-0.02,-0.15,0.01,-0.05,0.11,-0.13
Self_Direction,-0.02,0.01,-0.25,-0.02,1.0,0.36,0.13,-0.11,0.03,-0.28
Stimulation,-0.12,-0.0,-0.08,-0.15,0.36,1.0,0.07,0.17,-0.13,0.04
Hedonism,-0.08,-0.12,0.05,0.01,0.13,0.07,1.0,0.03,0.15,-0.02
Achievement,0.06,-0.3,-0.03,-0.05,-0.11,0.17,0.03,1.0,0.17,-0.04
Power,-0.24,-0.14,-0.08,0.11,0.03,-0.13,0.15,0.17,1.0,-0.11
Security,-0.15,0.08,0.12,-0.13,-0.28,0.04,-0.02,-0.04,-0.11,1.0
