,Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
Conformity,1.0,0.0,0.08,0.03,0.23,0.09,0.05,-0.04,0.06,-0.17
Tradition,0.0,1.0,0.02,0.09,0.02,-0.0,0.04,0.04,-0.03,0.14
Benevolence,0.08,0.02,1.0,-0.08,-0.12,0.0,0.2,-0.02,-0.05,-0.05
Universalism,0.03,0.09,-0.08,1.0,-0.12,-0.06,0.03,-0.07,0.0,0.16
Self_Direction,0.23,0.02,-0.12,-0.12,1.0,0.14,-0.02,0.05,-0.08,-0.07
Stimulation,0.09,-0.0,0.0,-0.06,0.14,1.0,-0.14,-0.14,0.13,0.17
Hedonism,0.05,0.04,0.2,0.03,-0.02,-0.14,1.0,0.1,0.05,0.01
Achievement,-0.04,0.04,-0.02,-0.07,0.05,-0.14,0.1,1.0,-0.18,-0.01
Power,0.06,-0.03,-0.05,0.0,-0.08,0.13,0.05,-0.18,1.0,-0.16
Security,-0.17,0.14,-0.05,0.16,-0.07,0.17,0.01,-0.01,-0.16,1.0
