,Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
Conformity,1.0,0.02,,,0.11,-0.29,0.09,-0.01,-0.07,
Tradition,0.02,1.0,,,0.03,-0.11,0.14,-0.27,0.01,
Benevolence,,,,,,,,,,
Universalism,,,,,,,,,,
Self_Direction,0.11,0.03,,,1.0,-0.09,0.13,-0.06,0.23,
Stimulation,-0.29,-0.11,,,-0.09,1.0,-0.02,0.05,-0.01,
Hedonism,0.09,0.14,,,0.13,-0.02,1.0,-0.07,0.05,
Achievement,-0.01,-0.27,,,-0.06,0.05,-0.07,1.0,-0.08,
Power,-0.07,0.01,,,0.23,-0.01,0.05,-0.08,1.0,
Security,,,,,,,,,,
