,Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
Conformity,1.0,0.04,,-0.07,,0.1,-0.03,-0.16,-0.02,-0.07
Tradition,0.04,1.0,,-0.13,,-0.04,-0.06,-0.05,-0.08,0.04
Benevolence,,,,,,,,,,
Universalism,-0.07,-0.13,,1.0,,0.06,-0.07,-0.04,-0.06,-0.01
Self_Direction,,,,,,,,,,
Stimulation,0.1,-0.04,,0.06,,1.0,0.15,-0.2,0.09,0.06
Hedonism,-0.03,-0.06,,-0.07,,0.15,1.0,-0.21,0.09,0.18
Achievement,-0.16,-0.05,,-0.04,,-0.2,-0.21,1.0,-0.22,-0.04
Power,-0.02,-0.08,,-0.06,,0.09,0.09,-0.22,1.0,-0.06
Security,-0.07,0.04,,-0.01,,0.06,0.18,-0.04,-0.06,1.0
