,Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
Conformity,1.0,0.01,0.01,0.02,-0.06,-0.03,0.03,0.03,0.01,-0.03
Tradition,0.01,1.0,0.02,-0.02,-0.13,0.06,-0.28,-0.04,0.12,0.11
Benevolence,0.01,0.02,1.0,0.11,-0.01,0.19,0.07,0.08,-0.0,0.19
Universalism,0.02,-0.02,0.11,1.0,-0.04,0.01,0.03,-0.09,-0.12,0.03
Self_Direction,-0.06,-0.13,-0.01,-0.04,1.0,0.01,-0.03,-0.13,-0.02,-0.3
Stimulation,-0.03,0.06,0.19,0.01,0.01,1.0,-0.14,0.16,-0.16,0.04
Hedonism,0.03,-0.28,0.07,0.03,-0.03,-0.14,1.0,-0.11,-0.12,0.06
Achievement,0.03,-0.04,0.08,-0.09,-0.13,0.16,-0.11,1.0,-0.0,-0.02
Power,0.01,0.12,-0.0,-0.12,-0.02,-0.16,-0.12,-0.0,1.0,0.04
Security,-0.03,0.11,0.19,0.03,-0.3,0.04,0.06,-0.02,0.04,1.0
