,Conformity,Tradition,Benevolence,Universalism,Self_Direction,Stimulation,Hedonism,Achievement,Power,Security
Conformity,1.0,-0.03,-0.12,-0.01,-0.05,-0.03,0.02,0.02,-0.23,-0.07
Tradition,-0.03,1.0,0.02,-0.17,-0.09,0.11,0.01,0.0,0.13,0.03
Benevolence,-0.12,0.02,1.0,-0.06,-0.06,-0.06,0.06,-0.0,0.03,-0.02
Universalism,-0.01,-0.17,-0.06,1.0,0.1,0.08,-0.09,-0.0,-0.21,-0.03
Self_Direction,-0.05,-0.09,-0.06,0.1,1.0,0.05,0.09,0.15,0.02,-0.04
Stimulation,-0.03,0.11,-0.06,0.08,0.05,1.0,-0.04,0.06,-0.08,0.19
Hedonism,0.02,0.01,0.06,-0.09,0.09,-0.04,1.0,0.13,0.11,-0.07
Achievement,0.02,0.0,-0.0,-0.0,0.15,0.06,0.13,1.0,0.05,-0.07
Power,-0.23,0.13,0.03,-0.21,0.02,-0.08,0.11,0.05,1.0,-0.07
Security,-0.07,0.03,-0.02,-0.03,-0.04,0.19,-0.07,-0.07,-0.07,1.0
