,sincerity,fairness,greed_avoidance,modesty,honesty_humility,fearfulness,anxiety,dependence,sentimentality,emotionality,social_self_esteem,social_boldness,sociability,liveliness,extraversion,forgiveness,gentleness,flexibility,patience,agreeableness,organization,diligence,perfectionism,prudence,conscientiousness,aesthetic_appreciation,inquisitiveness,creativity,unconventionality,openness_to_experience,temp
0,4.0,4.333333333333333,3.0,3.5,3.8,2.6666666666666665,3.0,3.0,3.6666666666666665,3.1,3.6666666666666665,3.0,3.5,4.0,3.5,3.0,3.0,3.0,3.5,3.1,3.5,3.5,3.6666666666666665,3.333333333333333,3.5,3.5,3.5,3.6666666666666665,3.6666666666666665,3.6,0.0
1,4.0,4.333333333333333,3.0,3.5,3.8,2.6666666666666665,3.0,3.0,3.6666666666666665,3.1,3.6666666666666665,3.0,3.5,3.5,3.4,3.0,3.0,3.0,3.5,3.1,3.5,3.5,3.6666666666666665,3.333333333333333,3.5,3.5,3.5,3.6666666666666665,3.6666666666666665,3.6,0.1
2,4.0,4.333333333333333,3.0,3.5,3.8,2.6666666666666665,3.0,3.0,3.6666666666666665,3.1,3.6666666666666665,3.0,3.5,4.0,3.5,3.0,3.0,3.0,3.5,3.1,3.5,3.5,3.6666666666666665,3.333333333333333,3.5,3.5,3.5,3.6666666666666665,3.6666666666666665,3.6,0.2
3,4.0,4.333333333333333,3.0,3.5,3.7,2.6666666666666665,3.0,3.0,3.6666666666666665,3.1,3.6666666666666665,3.0,3.5,3.5,3.4,3.0,3.0,3.0,3.5,3.1,3.5,3.5,3.6666666666666665,3.333333333333333,3.5,3.5,3.5,3.333333333333333,3.6666666666666665,3.5,0.3
4,4.0,4.333333333333333,3.0,3.5,3.8,2.6666666666666665,3.0,3.0,3.6666666666666665,3.0,3.6666666666666665,3.0,3.5,4.0,3.5,3.0,3.0,3.333333333333333,3.5,3.1,3.5,3.5,3.6666666666666665,3.333333333333333,3.5,3.5,3.5,3.333333333333333,3.6666666666666665,3.5,0.4
5,3.6666666666666665,4.333333333333333,3.0,3.5,3.75,2.6666666666666665,3.0,3.0,3.5,3.0,3.6666666666666665,3.0,3.5,4.0,3.5,3.0,3.0,3.333333333333333,3.5,3.2,3.5,3.5,3.6666666666666665,3.333333333333333,3.5,3.5,3.5,3.6666666666666665,3.6666666666666665,3.6,0.5
6,3.6666666666666665,4.333333333333333,3.0,3.5,3.7,2.6666666666666665,3.0,3.0,3.6666666666666665,3.0,3.6666666666666665,3.0,3.5,4.0,3.6,3.0,3.0,3.333333333333333,3.0,3.2,4.0,3.5,3.6666666666666665,3.333333333333333,3.5,3.5,3.5,3.333333333333333,3.6666666666666665,3.6,0.6
7,3.6666666666666665,4.333333333333333,3.0,3.5,3.8,2.6666666666666665,3.0,3.0,3.333333333333333,3.1,3.6666666666666665,3.0,3.5,4.0,3.5,3.0,3.0,3.333333333333333,3.0,3.2,4.0,3.5,3.6666666666666665,3.333333333333333,3.6,3.5,3.5,3.6666666666666665,3.6666666666666665,3.6,0.7
8,3.6666666666666665,4.333333333333333,3.0,3.5,3.7,2.6666666666666665,3.0,3.0,3.6666666666666665,3.1,3.6666666666666665,3.333333333333333,3.5,4.0,3.6,3.5,3.0,3.333333333333333,3.5,3.3,4.0,3.5,3.6666666666666665,3.333333333333333,3.6,3.5,3.5,3.6666666666666665,3.6666666666666665,3.6,0.8
9,3.6666666666666665,4.333333333333333,3.0,3.5,3.7,2.6666666666666665,3.0,3.0,3.6666666666666665,3.1,3.6666666666666665,3.333333333333333,3.5,3.5,3.6,3.5,3.333333333333333,3.333333333333333,3.5,3.3,4.0,3.5,3.6666666666666665,3.333333333333333,3.6,3.5,3.5,3.333333333333333,3.6666666666666665,3.7,0.9
10,3.6666666666666665,4.333333333333333,3.25,3.5,3.7,2.6666666666666665,3.0,3.0,3.333333333333333,3.1,3.833333333333333,3.333333333333333,3.5,3.5,3.6,3.5,3.0,3.333333333333333,3.0,3.3,4.0,3.5,3.6666666666666665,3.333333333333333,3.6,3.5,4.0,3.6666666666666665,3.6666666666666665,3.7,1.0
