,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,,3.7,3.5,3.1,3.5,
1,3.8,3.6,,2.9,3.5,3.6
2,3.4,,3.5,3.2,,3.3
3,3.3,3.6,3.4,,,
4,3.5,,,2.9,3.3,3.7
5,,4.0,3.5,3.2,3.4,3.9
6,,,3.8,3.2,2.8,3.6
7,,,3.8,3.0,3.5,
8,3.7,,,3.3,3.2,3.6
9,,,3.4,2.9,3.4,3.3
10,,,3.6,3.3,3.4,3.5
11,,3.8,,3.0,3.1,3.6
12,3.7,,3.5,3.2,3.0,3.3
13,3.6,3.5,3.5,3.0,,3.7
14,,,3.6,,3.0,3.2
15,3.3,4.2,3.8,3.0,,
16,,4.1,3.6,,3.2,3.6
17,,3.7,3.5,3.5,,3.6
18,,3.7,3.4,2.7,,
19,,3.8,3.8,3.2,3.2,3.5
20,,,3.6,,3.0,
21,4.0,3.6,,3.0,,
22,,,,,3.1,
23,4.1,,,,3.1,3.2
24,,3.5,,3.2,,3.5
25,3.6,3.3,3.5,,3.4,
26,3.7,3.9,3.6,2.8,3.2,3.4
27,3.4,,,3.1,3.2,3.7
28,4.0,3.3,,3.2,3.4,
29,,3.3,3.7,3.1,3.5,3.8
30,3.8,3.3,,2.6,,
31,,3.7,3.5,3.4,3.4,
32,3.8,3.4,3.9,2.9,3.3,3.7
33,3.9,,3.8,,2.9,
34,,3.4,3.4,3.2,3.6,
35,,3.7,3.3,,,3.6
36,,,3.4,3.2,3.5,3.7
37,,3.6,,2.5,,
38,,3.6,,3.2,3.5,3.7
39,,,3.6,2.5,3.3,3.5
40,3.4,4.0,,3.0,3.5,3.3
41,3.6,4.0,3.7,3.1,,3.3
42,3.7,3.4,,3.1,3.2,3.6
43,,3.6,3.6,3.2,3.5,3.9
44,,,3.6,2.4,3.3,3.6
45,,3.8,,,,
46,3.7,4.0,3.9,,3.4,3.6
47,,3.9,3.5,3.0,3.2,3.7
48,3.5,,3.6,,,3.5
49,3.7,,3.3,,3.6,3.6
50,3.6,3.4,3.7,3.2,3.2,
51,3.6,3.6,3.7,3.0,3.5,
52,,,,3.1,,3.5
53,,3.8,3.4,2.8,3.5,3.5
54,3.5,,3.5,,,3.7
55,3.8,3.9,3.5,2.9,3.1,
56,3.8,3.9,,3.4,3.3,3.5
57,3.7,3.9,,3.5,3.0,3.8
58,3.9,3.6,3.9,3.0,3.2,3.6
59,3.7,3.5,,,2.9,
60,,3.6,,3.0,3.5,3.7
61,,4.1,3.7,3.3,3.4,3.7
62,,,3.9,,,3.5
63,,,3.8,,3.3,3.5
64,,3.8,3.8,3.2,3.0,3.7
65,3.7,3.5,,2.9,3.3,3.6
66,,3.4,3.7,3.4,3.2,
67,,,3.4,3.3,3.3,3.5
68,,3.4,3.5,,3.3,
69,3.5,,,2.8,,3.9
70,,3.9,3.6,3.2,3.5,
71,,,3.5,,3.2,
72,,,,,,
73,,,,3.0,3.2,3.7
74,3.4,,3.6,3.3,3.2,3.7
75,3.6,,3.6,2.8,3.2,
76,3.9,,3.7,3.1,3.2,3.7
77,,3.8,3.5,3.3,3.1,3.7
78,,,3.7,,3.3,3.6
79,,4.2,3.5,,3.5,3.5
80,,3.6,3.6,3.2,,3.6
81,3.4,3.7,3.4,3.1,3.1,3.9
82,3.6,4.0,3.5,2.6,,3.6
83,,,3.7,3.1,3.4,3.3
84,3.6,,,3.1,3.7,3.7
85,3.8,4.1,,3.4,,
86,3.8,,3.5,,3.3,
87,3.6,,,,3.3,3.5
88,,3.7,,3.1,,3.9
89,3.7,3.5,,,3.1,
90,3.3,3.9,3.5,,3.0,3.4
91,,4.0,3.4,3.0,3.2,3.7
92,,,,3.1,3.5,
93,,4.1,,3.2,3.5,
94,3.5,3.3,3.4,3.1,3.5,3.7
95,,3.7,3.6,2.8,3.3,
96,,,3.7,3.0,3.3,
97,,3.4,3.7,3.0,,
98,3.7,3.7,3.3,3.1,3.5,3.5
99,3.7,3.7,,3.2,2.9,3.6
