,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,,,3.6,3.3,3.0,
1,3.5,3.6,3.6,3.0,3.1,3.4
2,3.5,,3.7,2.9,3.2,3.6
3,3.5,3.9,3.6,3.0,3.2,3.6
4,3.3,3.6,,3.0,3.1,3.5
5,3.5,3.5,3.7,3.1,3.2,
6,3.6,3.4,3.6,3.1,3.2,3.8
7,3.4,3.6,3.6,3.2,3.1,3.4
8,3.7,3.7,3.7,3.1,3.0,3.6
9,3.5,3.3,3.5,3.0,3.0,3.7
10,3.6,3.7,3.5,3.0,3.0,3.3
11,3.5,3.7,3.4,2.9,3.1,3.3
12,3.8,3.8,3.4,3.1,3.3,3.8
13,3.8,3.7,3.6,3.1,3.1,3.4
14,3.8,3.8,3.7,2.9,3.0,3.4
15,3.5,3.7,3.4,3.1,3.3,3.7
16,3.4,3.7,3.5,3.2,3.3,3.7
17,3.7,3.9,3.5,2.9,3.1,3.4
18,,3.8,3.5,3.2,3.3,3.6
19,3.5,3.9,3.5,3.0,3.1,3.6
20,3.6,,3.5,2.7,3.1,3.8
21,3.6,3.6,3.5,3.1,3.3,3.5
22,,3.7,3.6,3.1,3.1,3.5
23,3.6,,3.6,3.1,3.0,3.4
24,3.5,3.9,3.3,2.9,3.3,
25,3.5,3.6,3.6,3.0,3.2,3.7
26,3.9,3.9,3.5,3.0,3.1,3.4
27,3.6,3.9,,3.0,3.0,3.5
28,3.6,,,3.1,3.2,3.5
29,3.3,3.7,,2.7,3.2,3.5
30,3.5,3.7,,3.2,3.3,3.7
31,3.5,3.7,3.4,2.9,3.2,3.7
32,3.7,3.8,3.6,3.1,3.3,3.4
33,3.5,3.8,,3.0,3.3,3.5
34,3.7,3.6,,3.2,3.3,3.9
35,3.4,3.7,3.7,2.7,3.1,3.6
36,3.7,3.6,3.4,3.2,3.1,3.3
37,3.4,4.0,3.4,3.1,3.3,3.6
38,3.7,,3.5,2.8,3.1,
39,3.6,3.6,3.7,3.1,3.2,3.6
40,3.7,3.8,3.3,3.3,3.0,3.6
41,3.8,3.9,3.4,3.1,3.0,3.5
42,3.7,3.7,3.6,3.0,3.0,3.5
43,3.6,3.9,3.5,2.9,3.2,3.6
44,3.7,3.7,3.5,2.8,3.3,3.7
45,3.5,3.6,,3.1,3.0,3.4
46,3.6,3.8,3.8,3.0,3.0,3.5
47,3.7,3.7,3.4,3.2,3.2,3.5
48,3.6,3.7,3.4,3.2,3.4,3.4
49,3.5,3.7,3.4,3.1,3.1,3.5
50,3.5,,3.7,3.2,3.3,3.6
51,3.6,3.6,,3.0,3.1,3.7
52,,3.7,3.4,3.0,3.1,3.6
53,3.5,3.8,3.8,3.0,3.3,3.5
54,3.7,3.7,,3.3,3.2,
55,3.7,4.0,3.3,3.1,3.1,3.6
56,3.6,3.8,,3.0,3.2,3.3
57,3.6,3.5,3.6,3.0,3.0,
58,3.4,3.8,3.4,2.8,3.2,3.6
59,3.5,3.7,3.4,3.0,3.2,3.8
60,3.7,3.5,3.3,3.2,3.2,3.5
61,3.6,3.9,3.2,2.8,3.2,3.3
62,3.6,3.9,,2.8,3.1,3.6
63,3.5,3.6,,2.9,3.2,
64,3.1,3.4,,3.1,3.2,3.5
65,,3.8,3.4,2.7,3.2,3.4
66,3.8,3.9,3.5,2.9,3.1,3.5
67,3.6,,,2.9,3.2,
68,3.6,3.7,3.5,3.1,3.3,3.5
69,3.5,4.0,3.5,3.2,3.3,3.5
70,3.6,3.9,,3.2,3.5,
71,3.6,3.1,3.5,3.0,3.1,3.4
72,3.7,3.9,,3.0,3.4,3.5
73,3.6,3.8,3.6,3.0,3.3,
74,3.4,3.9,3.4,3.0,3.2,3.5
75,3.7,3.9,3.5,3.2,3.3,3.5
76,3.9,4.0,,3.2,3.0,3.6
77,3.4,3.8,3.3,3.1,3.2,3.5
78,3.6,3.8,3.6,2.9,3.0,3.4
79,3.6,3.6,3.8,3.0,3.2,3.5
80,3.6,,,3.1,3.0,3.5
81,3.4,3.5,3.4,3.2,3.1,
82,,3.5,3.3,2.8,3.2,3.4
83,3.7,3.8,3.5,2.7,3.1,
84,3.8,3.8,3.5,2.9,3.3,
85,3.6,,,3.4,3.1,3.5
86,3.6,3.8,3.3,3.1,3.2,3.4
87,3.4,3.8,3.6,2.8,3.1,3.5
88,3.7,4.0,,2.9,3.1,
89,3.5,3.7,,3.1,3.2,3.4
90,3.6,3.7,3.5,3.3,3.2,3.7
91,3.3,3.8,3.7,3.2,3.1,3.6
92,3.7,3.8,3.5,3.0,3.2,3.5
93,3.4,3.7,3.5,3.1,3.2,3.6
94,,3.9,3.5,3.0,3.0,
95,3.7,3.7,3.6,2.8,3.2,3.5
96,,4.0,3.6,3.2,3.1,3.4
97,3.7,3.9,3.5,3.4,3.2,3.6
98,3.6,3.9,3.6,3.0,3.1,3.4
99,3.6,3.9,3.5,3.0,3.2,3.5
