,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,3.6,3.6,3.3,2.9,3.2,3.5
1,3.6,3.8,,2.9,3.1,3.5
2,3.5,3.8,3.3,2.9,3.1,3.5
3,3.6,3.7,,2.9,3.2,3.5
4,3.5,3.8,,3.1,3.0,3.5
5,3.6,3.8,3.4,3.2,3.1,3.4
6,3.6,3.8,3.5,3.1,3.2,
7,3.6,3.7,3.5,3.1,3.1,3.6
8,3.6,3.8,3.4,3.2,3.0,3.5
9,3.6,3.8,3.4,3.1,3.3,3.5
10,3.5,3.8,,3.1,3.1,3.5
11,3.6,3.8,3.3,3.0,3.1,3.5
12,3.5,3.8,3.5,3.1,3.0,3.4
13,3.6,3.9,3.5,3.2,3.1,3.5
14,3.6,3.6,3.3,2.9,3.1,3.4
15,3.5,3.8,3.6,3.0,3.2,3.6
16,3.5,3.8,3.4,3.2,3.1,3.5
17,3.5,3.8,3.5,3.1,3.1,3.4
18,3.6,3.7,3.4,3.1,3.2,3.4
19,3.6,3.7,3.6,3.2,3.0,3.5
20,3.5,3.6,3.4,3.1,3.0,3.5
21,3.6,3.6,3.5,3.1,3.1,3.5
22,3.4,3.7,3.4,2.9,3.1,3.6
23,3.5,3.8,3.5,3.1,3.2,3.5
24,3.5,3.8,3.4,3.0,3.1,3.4
25,3.5,3.9,3.4,3.1,3.0,3.6
26,3.5,3.8,3.5,3.0,3.0,3.5
27,3.6,3.6,3.5,3.1,3.1,3.5
28,3.5,3.6,3.4,3.2,3.1,3.5
29,3.5,3.8,3.4,3.2,3.0,3.6
30,3.6,3.8,3.3,3.1,3.0,3.5
31,3.6,3.8,3.4,3.0,3.2,3.5
32,3.6,3.9,3.5,3.1,3.2,3.4
33,3.6,3.7,3.5,3.1,3.2,3.5
34,3.6,3.7,,3.1,3.2,3.5
35,3.6,3.8,3.6,2.9,3.1,3.5
36,3.6,3.8,3.5,3.2,3.1,3.5
37,3.5,3.9,,3.1,3.2,3.5
38,3.6,3.7,3.4,3.0,3.1,3.4
39,3.7,3.9,3.4,3.1,3.3,3.6
40,3.6,3.8,3.4,3.1,3.1,3.5
41,3.5,3.7,3.5,3.1,3.1,3.5
42,3.6,3.8,3.6,3.2,3.0,3.4
43,3.4,3.8,3.4,3.1,3.0,3.5
44,3.5,3.6,,3.1,3.1,3.7
45,3.6,3.7,3.5,3.1,3.2,3.6
46,3.6,3.6,3.4,3.2,3.1,3.4
47,3.5,3.8,3.4,3.1,3.0,3.6
48,3.6,3.8,3.5,3.2,3.2,3.4
49,3.6,3.7,3.4,3.1,3.2,3.6
50,3.4,3.8,,2.9,3.1,3.5
51,3.5,3.8,3.5,3.1,3.1,3.6
52,3.5,3.8,3.4,2.8,3.2,3.5
53,3.6,3.7,3.3,3.1,3.1,3.5
54,3.6,3.8,3.5,3.0,3.1,3.5
55,3.5,3.9,3.6,3.1,3.2,3.5
56,3.6,3.8,,3.1,3.1,3.4
57,3.5,3.8,3.4,3.1,3.2,3.5
58,3.5,3.8,3.5,3.1,3.2,3.5
59,3.6,3.8,3.4,3.2,3.1,3.5
60,3.6,3.8,3.5,3.0,3.0,3.5
61,3.5,3.8,3.5,3.1,3.0,3.5
62,3.6,3.8,,3.0,3.2,3.4
63,3.6,3.8,3.5,3.1,3.1,3.5
64,3.4,3.8,3.4,3.1,3.2,3.6
65,3.5,3.6,3.4,3.1,3.2,3.6
66,3.6,3.8,3.5,3.1,3.2,3.6
67,3.5,3.8,3.5,3.0,3.2,3.6
68,3.6,3.7,3.4,3.0,3.1,3.4
69,3.6,3.8,3.5,2.9,3.2,3.5
70,3.5,3.7,3.4,2.8,3.1,3.5
71,3.4,3.7,3.5,2.9,3.1,3.5
72,3.5,3.8,3.4,3.1,3.1,3.3
73,3.6,3.8,3.4,3.1,3.2,3.5
74,3.5,3.7,3.4,2.9,3.1,3.5
75,3.5,3.9,3.4,3.1,3.2,3.5
76,3.5,3.7,3.5,2.9,3.0,3.4
77,3.6,3.7,3.5,3.1,3.1,3.4
78,3.6,3.8,3.5,3.2,3.2,3.6
79,3.5,3.7,3.4,3.2,3.0,3.5
80,3.6,3.8,3.5,3.2,3.1,3.6
81,3.6,3.7,3.5,3.2,3.2,3.5
82,3.4,3.6,3.6,3.1,3.1,3.6
83,3.6,3.8,3.4,3.1,3.1,3.5
84,3.5,3.8,3.5,3.2,3.2,3.6
85,3.5,3.7,3.5,3.1,3.3,3.6
86,3.6,3.8,3.4,2.9,3.3,3.5
87,3.5,3.8,3.5,3.1,3.2,3.5
88,3.6,3.9,3.5,3.1,3.0,
89,3.6,3.8,3.4,3.2,3.1,3.4
90,3.6,3.7,3.5,3.0,3.1,3.7
91,3.6,3.8,3.5,3.1,3.2,3.5
92,3.5,3.7,,2.9,3.1,3.4
93,3.5,3.7,3.3,3.1,3.3,3.5
94,3.6,3.8,3.5,3.1,3.0,3.5
95,3.5,3.7,3.5,3.1,3.1,3.4
96,3.6,3.7,3.4,3.2,3.1,3.5
97,3.6,3.7,3.4,3.1,3.1,3.5
98,3.6,3.6,3.5,3.1,3.2,3.5
99,3.6,3.7,3.5,3.1,3.2,3.6
