,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,3.5,,3.7,3.4,3.1,3.5
1,,3.5,3.6,3.0,3.1,3.4
2,,4.2,,2.9,3.4,
3,3.6,3.6,,2.9,3.4,3.5
4,,3.5,3.8,2.6,,
5,3.7,3.6,3.7,3.1,3.0,3.5
6,3.5,3.6,3.6,2.6,3.4,3.7
7,3.6,3.4,3.9,3.1,3.3,
8,3.8,3.9,,,3.1,3.7
9,3.6,3.6,3.6,3.1,3.2,3.7
10,3.6,3.6,3.5,2.8,3.3,3.6
11,3.6,,3.4,2.9,3.4,3.2
12,,4.0,3.4,3.2,3.1,
13,3.5,4.0,,3.2,3.3,3.3
14,3.8,3.8,3.5,3.0,3.2,3.6
15,3.8,,3.5,,3.1,3.5
16,3.5,,3.5,3.1,3.1,
17,,3.7,3.5,3.1,3.2,3.7
18,,4.1,3.5,2.9,3.3,3.7
19,4.0,3.6,,2.8,3.2,3.6
20,3.5,,3.5,3.1,3.1,3.5
21,3.5,3.7,3.4,2.9,3.4,
22,,,,3.2,3.1,
23,3.5,3.2,,3.1,3.1,3.6
24,3.6,,3.3,2.9,3.2,3.9
25,3.5,4.1,3.6,3.2,3.3,3.7
26,3.6,,3.5,3.1,3.4,3.6
27,3.8,3.6,3.5,,2.8,
28,3.7,3.5,,3.0,3.2,3.4
29,3.6,4.0,3.6,,3.1,
30,3.6,3.9,3.7,3.2,3.3,
31,,4.0,,3.1,3.4,3.8
32,,3.9,,3.1,3.2,
33,3.3,3.7,3.8,,3.0,3.5
34,,4.1,3.8,,3.2,
35,3.7,,3.4,3.1,2.9,3.6
36,,3.8,3.5,3.1,3.2,3.4
37,,3.4,3.4,3.1,3.2,3.4
38,3.7,3.5,3.5,3.0,3.2,3.6
39,,3.6,3.3,2.7,3.2,3.5
40,,,,3.1,2.9,
41,,3.9,,2.9,3.2,3.8
42,3.6,3.9,3.5,,3.3,
43,,4.3,3.5,3.1,,3.5
44,3.6,4.0,,3.2,3.2,3.6
45,3.3,3.8,3.6,2.7,3.1,3.7
46,3.6,3.7,3.4,2.8,3.1,
47,3.7,3.7,3.4,3.1,3.0,3.8
48,,4.0,3.6,3.3,,
49,,3.8,,2.8,3.4,3.4
50,,3.7,,2.8,3.0,
51,3.5,,,3.2,3.0,3.7
52,,3.9,3.7,3.2,3.3,
53,3.4,3.6,,2.8,,3.6
54,4.1,3.9,3.6,3.1,3.4,3.4
55,3.7,3.9,3.5,3.1,3.4,3.5
56,3.8,3.6,3.4,,3.2,3.7
57,3.8,3.8,3.5,,3.2,3.8
58,3.8,3.9,3.3,,3.2,3.6
59,,3.3,3.8,,3.0,3.6
60,3.7,4.1,3.7,3.0,3.2,3.3
61,3.6,3.6,3.6,2.7,3.1,3.7
62,3.8,3.9,3.0,2.7,3.1,3.6
63,,4.1,,3.4,,3.9
64,,3.7,3.6,3.3,3.1,
65,3.8,3.7,,3.2,3.3,3.6
66,3.8,3.4,3.5,3.1,3.4,3.6
67,,,,,3.2,3.9
68,,3.7,3.5,3.2,3.2,3.5
69,3.7,3.6,,2.7,3.3,3.5
70,,4.0,3.5,2.7,3.2,3.6
71,3.8,3.5,,3.3,3.1,3.3
72,3.7,,3.7,3.0,,3.7
73,3.4,,3.4,3.2,3.3,3.9
74,3.3,3.5,3.6,3.0,3.3,
75,,3.9,3.7,3.1,3.3,3.5
76,,3.8,3.6,3.0,3.2,3.7
77,,3.8,,,3.7,3.6
78,3.5,3.9,3.4,3.0,3.4,3.7
79,3.7,3.9,3.5,3.0,,3.6
80,,3.8,3.4,3.2,3.3,3.4
81,3.4,3.9,3.4,2.9,3.3,
82,,3.8,3.7,3.0,3.1,3.5
83,3.4,3.9,3.6,3.3,3.4,3.5
84,,3.8,3.5,3.4,3.4,3.8
85,3.5,3.6,3.5,3.0,3.4,3.5
86,3.4,3.9,,2.8,3.4,3.6
87,,,3.6,3.3,3.2,3.7
88,3.5,3.9,3.4,2.9,3.3,
89,3.9,3.9,3.4,,3.2,3.5
90,4.0,,,3.1,3.3,3.7
91,3.4,3.9,3.4,3.2,3.1,3.5
92,,3.7,,3.5,3.4,3.5
93,,3.9,3.7,,3.2,3.5
94,3.5,4.1,3.5,3.2,3.3,3.6
95,3.5,3.4,3.5,2.9,3.2,3.6
96,3.8,3.9,3.6,2.7,3.1,
97,,4.0,3.5,3.0,3.1,3.9
98,3.4,,3.6,3.0,3.2,3.7
99,3.6,4.3,,3.0,,3.7
