,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,3.8,3.5,3.6,3.1,3.1,3.3
1,3.4,3.6,3.5,3.0,3.1,3.5
2,3.4,3.6,3.5,2.9,3.1,3.4
3,3.6,,3.4,,3.3,3.6
4,,3.8,3.5,3.1,3.2,3.8
5,,,3.4,2.9,3.0,3.5
6,3.7,3.6,3.5,,3.0,3.7
7,,,3.5,2.9,3.1,3.6
8,3.7,3.9,3.4,2.9,3.4,3.5
9,3.6,3.7,3.6,2.9,3.1,3.8
10,3.5,3.8,3.6,3.0,3.1,3.6
11,3.4,3.9,3.6,3.1,3.2,3.5
12,3.5,3.7,3.6,3.1,3.2,3.5
13,3.6,3.8,3.7,3.0,3.2,3.5
14,3.7,3.7,3.4,2.9,3.0,3.6
15,3.7,3.5,3.6,3.2,3.4,3.5
16,3.8,4.1,3.5,3.2,3.1,3.4
17,,,3.5,3.1,3.0,3.4
18,3.6,3.8,3.6,2.8,3.2,3.5
19,3.5,3.8,3.6,2.8,3.1,3.5
20,,3.8,3.7,2.9,,3.5
21,3.8,3.7,3.7,2.7,3.4,3.5
22,,3.7,3.3,3.1,3.4,3.3
23,3.5,3.2,3.6,3.2,3.3,3.8
24,3.5,3.7,3.7,3.0,3.2,3.5
25,3.6,3.6,,3.2,2.8,
26,3.7,4.0,3.8,2.9,3.1,3.7
27,3.8,3.7,3.4,,3.0,
28,3.5,3.9,3.4,2.8,3.0,3.3
29,3.4,,3.8,3.0,3.3,3.4
30,3.6,3.9,3.7,3.1,3.1,3.8
31,3.8,3.8,3.6,,3.2,3.4
32,3.5,,3.5,3.0,3.0,3.5
33,3.5,4.0,,2.9,3.0,3.6
34,3.4,3.8,3.5,3.2,3.3,3.7
35,3.6,3.5,3.4,3.1,3.1,3.6
36,,3.3,3.6,3.0,3.1,
37,3.5,,3.6,3.1,3.3,3.5
38,3.7,3.7,3.6,2.9,3.1,3.5
39,3.6,3.7,3.6,3.1,3.2,3.6
40,,3.9,3.5,2.9,3.1,3.6
41,3.7,3.7,3.7,3.2,3.4,3.5
42,3.7,3.6,3.3,3.0,3.1,3.6
43,3.7,3.7,3.6,,3.3,3.7
44,3.8,3.8,,2.9,3.1,
45,3.8,,,2.8,3.3,3.5
46,,3.9,3.8,3.2,,3.4
47,,3.7,3.6,2.7,3.2,3.5
48,3.3,3.9,3.3,3.1,3.5,3.6
49,3.3,3.7,,2.9,3.4,3.6
50,3.7,3.8,3.6,3.0,3.1,3.5
51,3.5,3.7,3.6,3.0,3.3,3.4
52,3.6,3.4,3.5,2.9,3.1,3.6
53,,3.7,,,3.2,3.4
54,3.6,3.8,3.6,2.8,3.1,3.5
55,3.8,4.1,,2.9,3.0,3.6
56,3.6,3.6,,3.4,3.0,3.7
57,3.6,3.8,3.7,3.0,,3.7
58,3.6,3.7,3.5,2.9,3.1,3.9
59,3.4,3.6,3.4,2.9,3.1,3.4
60,3.6,,,3.2,3.0,
61,3.4,3.5,3.6,3.1,3.0,3.6
62,3.4,3.7,3.6,3.0,3.2,3.4
63,3.6,3.8,3.6,3.2,3.1,3.7
64,3.8,3.6,3.6,3.0,3.0,
65,3.8,4.1,3.4,3.2,3.4,3.4
66,,,3.7,2.8,3.2,3.6
67,3.7,3.8,3.2,2.8,3.2,
68,3.5,3.5,3.9,2.9,3.1,3.6
69,3.6,3.8,3.6,,3.1,
70,,3.7,,3.1,3.1,3.8
71,3.8,3.7,,3.3,3.1,3.7
72,,3.9,3.3,3.0,,3.4
73,3.5,3.7,3.3,3.0,3.3,
74,3.6,,3.5,3.0,3.2,3.7
75,3.7,3.6,3.4,3.1,3.2,3.6
76,,3.6,3.6,3.0,3.2,3.6
77,3.9,4.0,3.6,2.8,3.2,3.4
78,3.5,3.9,3.6,,,3.5
79,3.5,,,3.1,3.0,3.5
80,3.5,,,3.2,3.5,
81,3.3,3.9,3.7,3.1,3.2,3.5
82,3.7,3.9,3.4,2.8,3.2,3.5
83,3.4,4.0,3.4,2.9,3.3,3.3
84,3.6,3.6,,2.9,3.2,3.4
85,,3.8,3.6,2.9,3.0,
86,3.7,,3.5,3.1,3.1,
87,,3.7,3.6,2.9,3.0,3.7
88,3.5,,3.3,3.2,3.0,3.3
89,,3.7,3.4,3.3,3.2,
90,,4.0,3.5,3.3,3.4,3.5
91,3.5,3.8,3.3,3.1,3.2,3.5
92,,3.5,3.7,2.8,3.2,3.5
93,3.7,3.7,3.5,2.8,3.2,3.6
94,,4.0,3.6,3.2,3.5,3.7
95,3.6,3.9,3.6,3.0,3.3,3.5
96,,3.9,3.7,3.2,3.2,
97,3.6,,3.5,2.9,3.3,3.3
98,3.6,3.7,3.5,2.9,3.2,3.4
99,3.7,3.4,,3.1,3.1,3.4
