,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,,4.0,,3.1,,4.0
1,,3.8,,2.6,,3.6
2,,,,2.8,3.6,3.4
3,,3.7,,,3.3,3.8
4,3.5,3.4,3.3,3.1,3.4,
5,3.8,4.1,3.6,,,3.1
6,3.8,,,,,3.7
7,,,3.7,2.9,,
8,3.7,3.7,3.7,3.1,,
9,,,3.9,2.7,,3.6
10,,,3.8,3.6,3.3,
11,3.6,3.4,,,3.2,3.5
12,3.9,,,3.2,3.3,
13,3.5,3.9,4.0,2.9,3.4,
14,3.4,3.5,,3.2,3.2,
15,3.8,,3.6,3.3,,
16,3.8,,,3.1,3.3,3.7
17,,3.8,,2.9,3.4,
18,,,4.1,2.3,3.6,3.6
19,3.5,,3.3,3.2,3.3,3.5
20,,3.7,3.7,3.2,3.0,3.8
21,,,3.6,,,3.5
22,,3.7,3.7,3.1,3.4,3.7
23,3.9,,3.4,3.1,3.3,
24,,,3.5,3.1,,
25,,3.7,,2.4,3.2,
26,,3.3,3.2,3.1,3.4,3.4
27,3.6,4.0,3.5,3.4,,
28,,3.8,3.4,,3.3,3.5
29,3.5,,3.9,3.1,3.3,3.4
30,4.0,,3.5,3.0,,3.8
31,,3.6,,3.3,3.4,3.5
32,,,3.7,3.1,2.9,3.4
33,3.9,3.2,,3.2,3.0,3.8
34,3.7,,,,,3.4
35,,,3.6,3.0,,3.7
36,,,3.4,3.1,3.4,3.4
37,,,,3.1,3.5,3.6
38,3.7,3.9,3.3,3.0,3.5,
39,3.5,3.6,3.3,3.1,3.1,3.4
40,3.5,3.7,3.6,,3.5,
41,3.7,,3.9,3.0,,3.6
42,3.8,,3.8,,3.4,2.9
43,3.8,,3.6,,3.0,3.3
44,,,,,3.1,3.7
45,3.9,3.4,3.7,,3.3,3.4
46,,3.9,,2.9,3.2,3.5
47,,,3.6,,3.3,
48,,,3.6,2.9,3.0,3.6
49,4.1,3.2,3.7,,3.1,3.5
50,3.8,,3.5,3.3,3.4,
51,3.7,3.6,3.7,3.3,3.2,4.0
52,3.8,,,3.3,3.5,
53,3.8,3.7,,,2.9,
54,3.5,3.8,3.7,2.9,3.5,3.7
55,3.6,3.7,,,3.3,
56,,3.9,,3.1,3.2,
57,,3.9,3.5,3.2,3.2,3.7
58,3.7,3.5,3.2,3.2,3.1,
59,,3.5,,,3.1,
60,3.7,,3.6,3.3,,3.7
61,3.3,3.8,3.7,,3.5,3.8
62,,,,,3.3,
63,,,3.5,3.0,3.2,
64,,,4.0,3.1,3.0,
65,,,,2.7,3.7,
66,,4.0,3.1,2.6,3.3,
67,,,3.5,,,
68,3.3,,3.4,,,
69,3.6,,3.6,,2.9,
70,4.1,3.6,,,3.3,3.5
71,3.7,,3.6,3.4,3.2,3.7
72,,,,,3.2,3.7
73,,4.1,3.6,2.9,3.6,
74,,3.2,,3.4,3.3,3.8
75,,,,,3.2,3.9
76,3.3,,,,,3.6
77,,,,2.8,3.2,
78,3.3,4.1,,2.8,3.3,
79,3.5,,3.3,3.1,3.2,
80,,,3.4,3.2,,3.5
81,,,3.6,,3.1,3.8
82,3.9,,,,3.7,
83,,3.7,,,3.3,
84,3.6,3.8,3.8,3.2,2.8,
85,3.6,,,3.4,,3.5
86,,3.8,3.9,,,
87,,,3.8,3.1,3.8,
88,,,3.3,,3.4,
89,3.6,3.9,3.3,3.1,3.1,3.4
90,3.7,3.7,3.4,3.1,3.0,3.8
91,,4.2,3.5,,3.2,3.6
92,3.7,,3.6,2.9,3.1,3.6
93,3.8,,3.5,3.0,3.6,3.5
94,,,3.7,2.9,3.3,3.3
95,3.8,3.9,,2.7,3.4,3.8
96,3.7,3.7,3.5,,,
97,3.5,3.7,,3.5,,
98,4.0,4.0,,3.1,3.1,
99,3.7,,3.8,,3.4,3.7
