,openness_to_experience,honesty_humility,extraversion,emotionality,agreeableness,conscientiousness
0,,3.6,,3.1,3.1,
1,3.4,,,3.1,3.2,
2,,3.5,,,,3.7
3,3.8,3.4,,3.2,3.4,
4,3.6,3.5,3.5,3.0,,3.7
5,3.7,3.5,,2.9,3.3,3.7
6,3.8,3.9,,,,3.4
7,3.7,,3.4,3.0,3.1,4.0
8,3.3,,,,3.1,
9,,3.4,3.2,,3.1,3.4
10,3.3,,,3.1,3.1,3.5
11,,,,,3.3,
12,3.5,3.8,3.7,3.1,3.2,3.6
13,3.6,3.6,,,3.4,3.7
14,3.9,3.6,3.6,3.1,3.4,3.6
15,3.6,3.8,,3.3,3.3,
16,3.5,,3.5,3.0,3.3,3.2
17,3.6,4.0,3.4,2.7,3.4,3.5
18,3.3,4.0,3.5,3.1,3.4,3.6
19,3.5,3.5,,3.1,3.2,3.4
20,3.5,3.6,3.3,3.2,,3.5
21,3.6,3.7,3.8,2.8,3.3,3.5
22,3.6,3.6,3.6,,3.3,3.6
23,3.5,3.5,3.4,3.1,2.9,
24,3.6,3.6,3.8,3.2,3.2,
25,3.5,3.8,3.4,2.9,,3.4
26,,,3.5,3.1,3.5,
27,3.4,3.7,3.6,,3.2,
28,3.6,,3.6,3.0,3.5,3.8
29,3.7,4.0,3.1,2.8,3.1,3.5
30,,3.5,,3.0,3.3,3.9
31,3.6,3.7,3.4,3.0,3.3,
32,,3.3,,3.1,3.1,3.4
33,3.5,,,3.5,3.1,
34,3.6,3.1,3.6,2.9,3.5,3.6
35,3.5,3.7,,3.1,3.4,3.6
36,3.6,3.7,3.7,3.3,3.5,
37,,3.4,,,3.6,3.6
38,4.1,3.4,3.7,3.1,,3.7
39,,,3.6,2.8,3.3,3.8
40,,,3.6,3.1,3.5,
41,3.8,3.9,3.6,3.2,3.5,
42,3.6,3.6,3.2,2.9,3.0,3.5
43,3.6,,,,3.4,3.3
44,3.6,3.5,,3.0,3.5,3.4
45,,,,2.8,3.5,
46,,3.7,3.4,3.0,3.0,4.0
47,,3.7,,3.0,3.4,
48,3.7,,3.7,3.1,3.3,3.4
49,3.7,3.9,,,3.0,
50,,4.0,3.6,2.8,3.3,
51,,,,3.2,3.3,3.7
52,,,,2.9,3.1,3.6
53,3.5,3.8,3.8,3.3,3.2,3.6
54,3.6,3.8,3.4,3.4,3.2,3.4
55,,4.2,3.6,3.1,3.0,3.4
56,3.5,,3.7,3.2,3.2,
57,3.8,3.5,3.6,3.2,3.4,3.6
58,,,3.4,3.3,3.3,3.6
59,,,3.8,3.0,3.7,
60,,,3.8,,3.0,
61,3.6,3.7,3.4,3.0,3.2,3.4
62,,3.8,3.6,2.7,3.2,
63,3.7,3.9,,3.2,3.1,3.6
64,3.9,3.8,3.6,3.1,3.3,
65,,3.7,3.3,2.9,3.4,3.7
66,3.7,3.2,,2.8,,3.5
67,3.7,,3.5,3.1,3.3,
68,3.4,4.0,3.5,2.9,3.2,3.8
69,3.6,,3.4,,3.6,
70,,3.8,3.9,3.5,3.2,3.3
71,3.8,3.5,3.7,3.3,3.4,
72,4.2,3.8,3.5,3.2,3.2,3.7
73,4.0,3.7,3.6,,,
74,,3.8,3.6,2.9,3.3,3.8
75,3.7,3.8,3.7,3.0,3.3,3.4
76,,,,3.0,3.4,3.4
77,,3.9,,3.3,3.2,3.6
78,,3.5,3.6,3.2,2.9,
79,,3.8,3.5,2.9,3.2,3.9
80,3.8,4.0,3.7,3.1,3.3,3.5
81,,4.0,,2.7,3.1,3.6
82,,3.8,3.4,,3.5,3.7
83,3.7,3.8,3.5,2.6,3.1,3.5
84,,3.5,,3.3,3.1,3.6
85,,3.6,4.0,2.7,3.5,3.5
86,3.4,3.8,3.7,3.2,3.2,
87,,3.7,3.4,2.9,3.4,3.5
88,3.9,3.6,3.4,3.2,3.2,3.6
89,,3.9,3.5,3.0,3.4,3.3
90,,3.6,,3.1,3.4,3.8
91,,3.5,3.6,,3.2,3.7
92,,3.6,,2.8,,3.5
93,3.6,3.5,3.5,3.3,3.2,3.7
94,,3.8,,3.1,,
95,,3.7,3.4,3.3,3.4,3.7
96,3.8,,3.6,3.1,3.3,3.7
97,,3.5,3.5,3.0,3.4,3.8
98,,3.4,3.3,,3.1,3.5
99,3.6,4.3,3.6,3.2,3.5,3.6
